node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
RPA1	ERCC1	978067	975751	ENSP00000254719	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.607	0.000	0.000	0.607
AKT2	BAD	993239	983354	ENSP00000375892	ENSP00000309103	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RAD52	ERCC1	988506	975751	ENSP00000351284	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.669	0.000	0.000	0.669
CASP8	BCL2	988504	985632	ENSP00000351273	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.000	0.937
PMS2	POLD1	979682	978920	ENSP00000265849	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.234	0.000	0.000	0.234
LIG4	RAD54B	988208	986466	ENSP00000349393	ENSP00000336606	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.226
XAB2	GTF2H1	988481	979693	ENSP00000351137	ENSP00000265963	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
POLD3	POLD1	979230	978920	ENSP00000263681	ENSP00000262266	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
PRKDC	MSH6	983877	977074	ENSP00000313420	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.000	0.619
XRCC6	CHEK1	988652	980540	ENSP00000352257	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
IKBKB	TNFRSF10A	986774	976441	ENSP00000339151	ENSP00000221132	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
NFKBIA	NFKB2	976240	975943	ENSP00000216797	ENSP00000189444	0.000	0.000	0.000	0.796	0.000	0.192	0.900	0.000	0.913
CAST	CASP7	993526	982057	ENSP00000379158	ENSP00000298700	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
ATR	MSH6	987414	977074	ENSP00000343741	ENSP00000234420	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
CASP9	CASP3	985709	983604	ENSP00000330237	ENSP00000311032	0.000	0.000	0.000	0.865	0.000	0.937	0.900	0.000	0.993
RAD52	LIG4	988506	988208	ENSP00000351284	ENSP00000349393	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
ERCC2	RAD52	993226	988506	ENSP00000375809	ENSP00000351284	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
POLE	OGG1	984840	983033	ENSP00000322570	ENSP00000306561	0.000	0.000	0.000	0.000	0.000	0.252	0.000	0.000	0.252
RAD17	CDC6	992299	976059	ENSP00000370151	ENSP00000209728	0.000	0.000	0.000	0.485	0.000	0.580	0.900	0.000	0.955
OGG1	XPC	983033	980908	ENSP00000306561	ENSP00000285021	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
XRCC6	RAD51	988652	979855	ENSP00000352257	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
PIK3CG	PIK3R5	988630	979978	ENSP00000352121	ENSP00000269300	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
AKT1	PIK3R5	980037	979978	ENSP00000270202	ENSP00000269300	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RIPK1	TNFRSF1A	978509	975867	ENSP00000259808	ENSP00000162749	0.000	0.000	0.000	0.513	0.000	0.999	0.900	0.000	0.999
TNF	TRAF2	995272	977592	ENSP00000392858	ENSP00000247668	0.000	0.000	0.000	0.000	0.000	0.984	0.000	0.000	0.984
BRCA1	RPA1	988359	978067	ENSP00000350283	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
AKT2	IKBKB	993239	986774	ENSP00000375892	ENSP00000339151	0.000	0.000	0.000	0.654	0.000	0.000	0.800	0.000	0.800
ERCC3	MSH2	980930	977012	ENSP00000285398	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
PPP3CB	PPP3CC	993447	977245	ENSP00000378306	ENSP00000240139	0.000	0.000	0.000	0.967	0.000	0.000	0.900	0.000	0.899
XRCC6	RAD50	988652	979585	ENSP00000352257	ENSP00000265335	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.750
LIG4	MRE11A	988208	985197	ENSP00000349393	ENSP00000325863	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
ATM	RPA1	980514	978067	ENSP00000278616	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
ERCC4	ERCC3	983532	980930	ENSP00000310520	ENSP00000285398	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RFC5	RFC1	996982	978706	ENSP00000408295	ENSP00000261424	0.000	0.000	0.000	0.652	0.000	0.999	0.900	0.000	0.999
PIK3CB	PIK3R1	981143	980292	ENSP00000289153	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.937	0.900	0.000	0.993
AKT2	IKBKG	993239	989953	ENSP00000375892	ENSP00000358622	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
XRCC5	PNKP	985622	984941	ENSP00000329528	ENSP00000323511	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
XAB2	ERCC4	988481	983532	ENSP00000351137	ENSP00000310520	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC3	TP53	980930	979979	ENSP00000285398	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
FEN1	RPA3	982899	976606	ENSP00000305480	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RIPK1	NFKB1	978509	976749	ENSP00000259808	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
RELA	RIPK1	994309	978509	ENSP00000384273	ENSP00000259808	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
TDG	RAD23B	993296	988422	ENSP00000376611	ENSP00000350708	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
LIG3	PNKP	991843	984941	ENSP00000367787	ENSP00000323511	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.859
ERCC4	RAD51	983532	979855	ENSP00000310520	ENSP00000267868	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	0.388
RPA1	DMC1	978067	976139	ENSP00000254719	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
XPA	ERCC5	991140	987985	ENSP00000364270	ENSP00000347978	0.000	0.000	0.000	0.000	0.000	0.141	0.900	0.000	0.908
